sNoPlace,sNoPlaceCom,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax,Type,DateDebut,DateFin,maxHeures,sDescription,dtHeureDebut,dtHeureFin,bLun,bMar,bMer,bJeu,bVen,bSam,bDim
A007,A007-MX-02-125,-73.58185649590118,45.4895931262782,-73.58186970926198,45.48962311929694,1,NORMAL,Double,A008,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A007,A007-MX-02-28,-73.58185649590118,45.4895931262782,-73.58186970926198,45.48962311929694,1,NORMAL,Double,A008,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A007,A007-MX-01-109,-73.58185649590118,45.4895931262782,-73.58186970926198,45.48962311929694,1,NORMAL,Double,A008,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A007,A007-CH-AA-125,-73.58185649590118,45.4895931262782,-73.58186970926198,45.48962311929694,1,NORMAL,Double,A008,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A007,A007-CH-AA-108,-73.58185649590118,45.4895931262782,-73.58186970926198,45.48962311929694,1,NORMAL,Double,A008,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A007,A007-CH-AA-28,-73.58185649590118,45.4895931262782,-73.58186970926198,45.48962311929694,1,NORMAL,Double,A008,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A008,A008-MX-02-125,-73.58185649590118,45.4895931262782,-73.5818056383979,45.48959176808426,1,NORMAL,Double,A007,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A008,A008-MX-02-28,-73.58185649590118,45.4895931262782,-73.5818056383979,45.48959176808426,1,NORMAL,Double,A007,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A008,A008-MX-01-109,-73.58185649590118,45.4895931262782,-73.5818056383979,45.48959176808426,1,NORMAL,Double,A007,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A008,A008-CH-AA-125,-73.58185649590118,45.4895931262782,-73.5818056383979,45.48959176808426,1,NORMAL,Double,A007,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A008,A008-CH-AA-108,-73.58185649590118,45.4895931262782,-73.5818056383979,45.48959176808426,1,NORMAL,Double,A007,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A008,A008-CH-AA-28,-73.58185649590118,45.4895931262782,-73.5818056383979,45.48959176808426,1,NORMAL,Double,A007,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A009,A009-MX-02-125,-73.58172693484217,45.489531785184084,-73.58174017059386,45.48956187872833,1,NORMAL,Double,A010,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A009,A009-MX-02-28,-73.58172693484217,45.489531785184084,-73.58174017059386,45.48956187872833,1,NORMAL,Double,A010,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A009,A009-MX-01-109,-73.58172693484217,45.489531785184084,-73.58174017059386,45.48956187872833,1,NORMAL,Double,A010,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A009,A009-CH-AA-125,-73.58172693484217,45.489531785184084,-73.58174017059386,45.48956187872833,1,NORMAL,Double,A010,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A009,A009-CH-AA-108,-73.58172693484217,45.489531785184084,-73.58174017059386,45.48956187872833,1,NORMAL,Double,A010,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A009,A009-CH-AA-28,-73.58172693484217,45.489531785184084,-73.58174017059386,45.48956187872833,1,NORMAL,Double,A010,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A010,A010-MX-02-125,-73.58172693484217,45.489531785184084,-73.581676099871,45.48953052744254,1,NORMAL,Double,A009,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A010,A010-MX-02-28,-73.58172693484217,45.489531785184084,-73.581676099871,45.48953052744254,1,NORMAL,Double,A009,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A010,A010-MX-01-109,-73.58172693484217,45.489531785184084,-73.581676099871,45.48953052744254,1,NORMAL,Double,A009,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A010,A010-CH-AA-125,-73.58172693484217,45.489531785184084,-73.581676099871,45.48953052744254,1,NORMAL,Double,A009,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A010,A010-CH-AA-108,-73.58172693484217,45.489531785184084,-73.581676099871,45.48953052744254,1,NORMAL,Double,A009,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A010,A010-CH-AA-28,-73.58172693484217,45.489531785184084,-73.581676099871,45.48953052744254,1,NORMAL,Double,A009,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A011,A011-MX-02-125,-73.5815968941687,45.48947107089396,-73.58161063220638,45.489500638012856,1,NORMAL,Double,A012,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A011,A011-MX-02-28,-73.5815968941687,45.48947107089396,-73.58161063220638,45.489500638012856,1,NORMAL,Double,A012,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A011,A011-MX-01-109,-73.5815968941687,45.48947107089396,-73.58161063220638,45.489500638012856,1,NORMAL,Double,A012,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A011,A011-CH-AA-125,-73.5815968941687,45.48947107089396,-73.58161063220638,45.489500638012856,1,NORMAL,Double,A012,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A011,A011-CH-AA-108,-73.5815968941687,45.48947107089396,-73.58161063220638,45.489500638012856,1,NORMAL,Double,A012,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A011,A011-CH-AA-28,-73.5815968941687,45.48947107089396,-73.58161063220638,45.489500638012856,1,NORMAL,Double,A012,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A012,A012-MX-02-125,-73.5815968941687,45.48947107089396,-73.58154656162475,45.489469286653076,1,NORMAL,Double,A011,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A012,A012-MX-02-28,-73.5815968941687,45.48947107089396,-73.58154656162475,45.489469286653076,1,NORMAL,Double,A011,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A012,A012-MX-01-109,-73.5815968941687,45.48947107089396,-73.58154656162475,45.489469286653076,1,NORMAL,Double,A011,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A012,A012-CH-AA-125,-73.5815968941687,45.48947107089396,-73.58154656162475,45.489469286653076,1,NORMAL,Double,A011,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A012,A012-CH-AA-108,-73.5815968941687,45.48947107089396,-73.58154656162475,45.489469286653076,1,NORMAL,Double,A011,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A012,A012-CH-AA-28,-73.5815968941687,45.48947107089396,-73.58154656162475,45.489469286653076,1,NORMAL,Double,A011,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A013,A013-MX-02-125,-73.58146699793015,45.489410205390534,-73.58148109409953,45.48943939714873,1,NORMAL,Double,A014,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A013,A013-MX-02-28,-73.58146699793015,45.489410205390534,-73.58148109409953,45.48943939714873,1,NORMAL,Double,A014,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A013,A013-MX-01-109,-73.58146699793015,45.489410205390534,-73.58148109409953,45.48943939714873,1,NORMAL,Double,A014,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A013,A013-CH-AA-125,-73.58146699793015,45.489410205390534,-73.58148109409953,45.48943939714873,1,NORMAL,Double,A014,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A013,A013-CH-AA-108,-73.58146699793015,45.489410205390534,-73.58148109409953,45.48943939714873,1,NORMAL,Double,A014,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A013,A013-CH-AA-28,-73.58146699793015,45.489410205390534,-73.58148109409953,45.48943939714873,1,NORMAL,Double,A014,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A014,A014-MX-02-125,-73.58146699793015,45.489410205390534,-73.58142184979795,45.48940785754312,1,NORMAL,Double,A013,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A014,A014-MX-02-28,-73.58146699793015,45.489410205390534,-73.58142184979795,45.48940785754312,1,NORMAL,Double,A013,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A014,A014-MX-01-109,-73.58146699793015,45.489410205390534,-73.58142184979795,45.48940785754312,1,NORMAL,Double,A013,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A014,A014-CH-AA-125,-73.58146699793015,45.489410205390534,-73.58142184979795,45.48940785754312,1,NORMAL,Double,A013,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A014,A014-CH-AA-108,-73.58146699793015,45.489410205390534,-73.58142184979795,45.48940785754312,1,NORMAL,Double,A013,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A014,A014-CH-AA-28,-73.58146699793015,45.489410205390534,-73.58142184979795,45.48940785754312,1,NORMAL,Double,A013,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A017,A017-MX-02-125,-73.58121902756756,45.48927673642366,-73.5812329256927,45.489307023836325,1,NORMAL,Double,A018,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A017,A017-MX-02-28,-73.58121902756756,45.48927673642366,-73.5812329256927,45.489307023836325,1,NORMAL,Double,A018,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A017,A017-MX-01-109,-73.58121902756756,45.48927673642366,-73.5812329256927,45.489307023836325,1,NORMAL,Double,A018,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A017,A017-CH-AA-125,-73.58121902756756,45.48927673642366,-73.5812329256927,45.489307023836325,1,NORMAL,Double,A018,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A017,A017-CH-AA-108,-73.58121902756756,45.48927673642366,-73.5812329256927,45.489307023836325,1,NORMAL,Double,A018,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A017,A017-CH-AA-28,-73.58121902756756,45.48927673642366,-73.5812329256927,45.489307023836325,1,NORMAL,Double,A018,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A018,A018-MX-02-125,-73.58121902756756,45.48927673642366,-73.58117317846767,45.48927513504963,1,NORMAL,Double,A017,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A018,A018-MX-02-28,-73.58121902756756,45.48927673642366,-73.58117317846767,45.48927513504963,1,NORMAL,Double,A017,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A018,A018-MX-01-109,-73.58121902756756,45.48927673642366,-73.58117317846767,45.48927513504963,1,NORMAL,Double,A017,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A018,A018-CH-AA-125,-73.58121902756756,45.48927673642366,-73.58117317846767,45.48927513504963,1,NORMAL,Double,A017,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A018,A018-CH-AA-108,-73.58121902756756,45.48927673642366,-73.58117317846767,45.48927513504963,1,NORMAL,Double,A017,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A018,A018-CH-AA-28,-73.58121902756756,45.48927673642366,-73.58117317846767,45.48927513504963,1,NORMAL,Double,A017,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A019,A019-MX-02-125,-73.58109466098537,45.48921040403181,-73.58110963485301,45.489241219947274,1,NORMAL,Double,A020,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A019,A019-MX-02-28,-73.58109466098537,45.48921040403181,-73.58110963485301,45.489241219947274,1,NORMAL,Double,A020,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A019,A019-MX-01-109,-73.58109466098537,45.48921040403181,-73.58110963485301,45.489241219947274,1,NORMAL,Double,A020,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A019,A019-CH-AA-125,-73.58109466098537,45.48921040403181,-73.58110963485301,45.489241219947274,1,NORMAL,Double,A020,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A019,A019-CH-AA-108,-73.58109466098537,45.48921040403181,-73.58110963485301,45.489241219947274,1,NORMAL,Double,A020,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A019,A019-CH-AA-28,-73.58109466098537,45.48921040403181,-73.58110963485301,45.489241219947274,1,NORMAL,Double,A020,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A020,A020-MX-02-125,-73.58109466098537,45.48921040403181,-73.58104884324055,45.48920877359801,1,NORMAL,Double,A019,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",13:00:00,18:00:00,0,0,0,0,0,0,1
A020,A020-MX-02-28,-73.58109466098537,45.48921040403181,-73.58104884324055,45.48920877359801,1,NORMAL,Double,A019,Sussex,0,"Regulier Payez-Partez",350,S,,Q,0101,3112,3,"MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM",09:00:00,18:00:00,0,0,0,0,0,1,0
A020,A020-MX-01-109,-73.58109466098537,45.48921040403181,-73.58104884324055,45.48920877359801,1,NORMAL,Double,A019,Sussex,0,"Regulier Payez-Partez",350,S,,P,0101,3112,3,"MAX 3 h18 h - 21 h LUN A VEN",18:00:00,21:00:00,1,1,1,1,1,0,0
A020,A020-CH-AA-125,-73.58109466098537,45.48921040403181,-73.58104884324055,45.48920877359801,1,NORMAL,Double,A019,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",13:00:00,18:00:00,0,0,0,0,0,0,1
A020,A020-CH-AA-108,-73.58109466098537,45.48921040403181,-73.58104884324055,45.48920877359801,1,NORMAL,Double,A019,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,21:00:00,1,1,1,1,1,0,0
A020,A020-CH-AA-28,-73.58109466098537,45.48921040403181,-73.58104884324055,45.48920877359801,1,NORMAL,Double,A019,Sussex,0,"Regulier Payez-Partez",350,S,,U,0101,3112,2,"LUN A VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h",09:00:00,18:00:00,0,0,0,0,0,1,0
A024,A024-ZY-35-216,-73.58675325583987,45.49187971850639,-73.5867522143367,45.49192125828147,1,NORMAL,Double,A025,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,A,0104,0112,0,"STAT. INT. 10 h - 11 h LUN et JEU 01 avril au 01 decembre",10:00:00,11:00:00,1,0,0,1,0,0,0
A024,A024-PC-VS-319,-73.58675325583987,45.49187971850639,-73.5867522143367,45.49192125828147,1,NORMAL,Double,A025,Lambert-Closse,0,"Regulier Payez-Partez",350,S,,B,0101,3112,0,"Stationnement reserve - vehicule electrique seulement",00:00:01,00:00:59,0,0,0,0,0,0,0
